generation,individual_id,fitness,wins,draws,losses,depth,search_mode,lmr_min_ply,lmr_full_depth_moves,pawn,knight,bishop,rook,queen,doubled_pawn_penalty,isolated_pawn_penalty,passed_pawn_bonus,protected_pawn_bonus,mobility_bonus,bishop_pair_bonus,king_shield_bonus,undeveloped_minor_penalty
25,823,1.98538,0,2,0,4,instinct,,,126,317,296,481,968,0,29,17,42,8,43,30,15
25,732,2.01462,0,2,0,4,instinct,,,123,309,286,462,968,0,21,0,35,6,52,22,15
25,787,1.99401,0,2,0,4,instinct,,,123,309,286,559,968,0,26,0,28,6,52,22,15
25,794,2.00599,0,2,0,4,instinct,,,121,317,300,559,1000,0,26,0,28,0,53,28,33
25,818,2.01165,0,2,0,4,instinct,,,129,321,292,521,901,65,26,0,28,3,52,28,33
25,831,1.98835,0,2,0,4,instinct,,,123,330,292,513,901,39,26,6,36,3,51,26,41
25,821,1.9903,0,2,0,4,instinct,,,129,284,276,521,948,71,35,0,48,11,44,23,18
25,730,2.0097,0,2,0,4,instinct,,,121,313,292,559,972,72,26,0,28,0,52,26,33
25,731,1.98697,0,2,0,4,instinct,,,123,301,276,521,948,71,28,10,42,2,52,19,27
25,829,2.01303,0,2,0,4,instinct,,,122,317,272,481,901,64,24,3,37,0,53,26,18
25,791,1.98528,0,2,0,4,instinct,,,124,321,292,521,934,33,30,0,41,13,52,18,21
25,725,2.01472,0,2,0,4,instinct,,,121,304,284,480,934,33,34,13,42,5,56,13,20
26,859,2.01677,0,2,0,4,instinct,,,123,298,286,447,932,65,26,0,28,6,45,18,35
26,863,1.98323,0,2,0,4,instinct,,,129,306,276,521,901,63,26,10,13,3,52,28,41
26,755,1.98877,0,2,0,4,instinct,,,123,317,291,481,901,0,28,17,42,6,44,21,17
26,818,2.01123,0,2,0,4,instinct,,,129,321,292,521,901,65,26,0,28,3,52,28,33
26,816,2.01088,0,2,0,4,instinct,,,123,313,276,521,948,78,26,10,21,0,52,26,32
26,860,1.98912,0,2,0,4,instinct,,,129,282,284,506,972,73,36,0,28,2,52,30,33
26,849,1.97318,0,2,0,4,instinct,,,129,321,292,521,901,65,26,0,28,11,52,28,33
26,856,2.02682,0,2,0,4,instinct,,,130,321,291,521,948,65,26,0,20,3,52,35,28
26,861,1.99292,0,2,0,4,instinct,,,121,304,272,480,972,33,32,0,34,1,58,36,20
26,848,2.00708,0,2,0,4,instinct,,,122,282,291,476,941,71,36,9,35,0,48,30,28
26,862,1.99948,0,2,0,4,instinct,,,122,317,272,481,901,64,20,4,37,0,53,26,18
26,789,2.00052,0,2,0,4,instinct,,,129,313,284,521,972,73,26,0,28,4,52,30,33
26,857,1.99126,0,2,0,4,instinct,,,134,317,291,481,901,0,28,0,50,3,38,21,23
26,820,2.00874,0,2,0,4,instinct,,,131,339,276,521,948,33,23,0,42,0,50,27,27
26,850,2.01184,0,2,0,4,instinct,,,129,321,284,500,901,33,26,0,36,1,57,13,39
26,824,1.98816,0,2,0,4,instinct,,,125,282,292,506,901,71,36,10,42,2,48,30,20
26,732,2.00055,0,2,0,4,instinct,,,123,309,286,462,968,0,21,0,35,6,52,22,15
26,829,1.99945,0,2,0,4,instinct,,,122,317,272,481,901,64,24,3,37,0,53,26,18
26,853,2.01228,0,2,0,4,instinct,,,124,336,292,494,910,37,30,3,34,12,52,23,39
26,786,1.98772,0,2,0,4,instinct,,,129,321,292,521,901,73,26,0,41,11,52,17,15
26,854,1.99084,0,2,0,4,instinct,,,123,322,284,476,928,33,21,8,42,6,62,21,20
26,852,2.00916,0,2,0,4,instinct,,,131,348,264,539,928,33,23,0,42,0,50,27,27
26,827,1.9787,0,2,0,4,instinct,,,124,336,292,494,932,33,30,3,34,14,52,23,39
